sim_id,npv_merchant_eur,npv_pay_as_produced_eur,npv_baseload_eur
564,23744867.21,23378082.03,18427116.26
565,21177806.9,23676541.36,18993830.06
566,23171397.42,23232950.41,17268420.13
567,17304298.42,23503158.51,20024002.61
568,18658745.11,23448881.64,19383206.22
569,23005274.16,22962381.75,16315106.99
570,22674033.91,23071191.26,16887269.87
571,18707467.35,22703620.71,18636561.76
572,23405773.65,23762948.37,18911491.52
573,20511663.64,23344042.7,17578001.88
574,21283723.33,23411072.11,19298532.87
575,20935579.31,24085957.82,19834509.27
576,19414094.92,24061548.8,19580224.25
577,17907984.05,23164495.63,20525568.22
578,19150313.8,24370784.07,21526407.91
579,18986407.05,23256291.17,18109848.06
580,22879436.01,23100593.04,17055273.7
581,17474455.87,23259500.69,18939466.97
582,22668894.22,23316867.38,17236785.57
583,18292930.93,22982400.07,17250623.25
584,20262632.71,23633816.22,19460895.75
585,22312384.28,23631458.22,19028822.95
586,21128360.81,23695990.56,18673398.7
587,19469250.89,23406735.64,19226728.99
588,26993177.06,23307930.69,16670849.88
589,24326323.98,24277814.63,18208116.2
590,19014568.87,23025587.1,18627401.19
591,24709391.65,23491588.63,17733242.77
592,19586026.61,23514570.42,19210689.47
593,20341475.32,23028598.02,18604607.32
594,17164395.4,22717851.03,20181444.18
595,16831706.43,23431319.07,19179982.43
596,14011818.08,23525912.92,20758006.11
597,20772041.88,22708778.02,17380369.2
598,22048129.92,23304316.6,16547952.47
599,22713926.1,22781862.11,16735401.63
600,26464321.48,24158147.83,17134994.19
601,21028902.32,23339497.21,17368160.26
602,15109000.41,23224176.5,20857903.64
603,20511457.64,23534571.99,18913877.35
604,22386270.59,23046792.41,16169282.93
605,25307656.81,23788872.72,18660804.58
606,20168380.79,23486891.0,18479194.61
607,19311993.93,23496318.96,18993183.94
608,17616185.74,23865013.25,19175109.6
609,18981109.1,22975981.9,18296607.99
610,17337325.84,23209117.61,19953103.63
611,20238456.65,23639257.49,18511236.95
612,19258961.21,23868510.73,20032181.3
613,23780802.78,23259673.36,15966105.37
614,17570525.02,23133461.23,19568882.16
615,19562499.8,23420756.23,18783866.16
616,23856166.92,23389214.23,17317836.01
617,20469078.93,23481511.0,18608405.66
618,18378106.73,23496210.13,19438272.71
619,19351523.7,23775931.9,19345457.67
620,16765155.42,23749730.05,21019105.4
621,20813930.64,23241274.08,16869420.21
622,22190280.02,23686373.33,17983508.0
623,20006802.94,22984112.99,17204323.19
624,15973757.72,23633219.17,20317745.2
625,15337746.98,23114472.65,20213457.95
626,18436039.16,23052369.58,18487862.35
627,20794660.8,24527114.28,19935494.5
628,21381091.23,23197166.42,19361834.08
629,20423808.11,24063346.99,19416137.47
630,17154243.91,23444376.16,19742603.37
631,15367532.42,22706647.24,18854405.68
632,19982402.1,23356502.33,18468389.05
633,17171519.5,23737935.67,19849573.13
634,21618233.08,23699478.75,18937799.15
635,20113737.81,24096934.66,20023735.89
636,19163821.42,23992371.25,19632405.85
637,17574481.42,23328885.07,19201094.4
638,16099023.18,22716647.73,20072140.35
639,23385996.6,22687135.46,16831102.1
640,25695547.9,23521611.56,17742907.42
641,19649214.97,23144496.03,19512684.74
642,17829149.71,24047580.08,20605358.8
643,17199655.58,23807606.26,20216524.84
644,17946325.63,23486719.25,18782700.14
645,20843690.89,24254648.74,19409142.98
646,20489458.98,23184748.21,17911653.47
647,22421466.97,22561828.72,18177713.83
648,18018480.5,23779418.09,18882451.44
649,24410404.71,24009980.72,18005780.43
650,17885416.92,23699462.64,18728150.46
651,20735699.77,23165355.31,17677832.18
652,18635703.78,23755402.71,18652386.34
653,20855682.0,23048873.81,18458494.61
654,20853780.4,23552253.5,17711963.12
655,23805067.82,23627642.37,18366457.57
656,18088467.72,23002359.83,19628883.87
657,23003861.25,23256027.79,16383740.82
658,17448955.17,23712446.11,20187435.47
659,21122036.0,23129134.54,18894475.21
660,19451970.79,22932277.9,19046308.23
661,25823732.83,23662531.18,18056432.24
662,18710453.96,24156515.86,19397374.95
663,22073624.8,23978235.61,18636875.62
664,16737715.81,23040447.71,19120478.63
665,17253275.16,23576539.42,19565765.86
666,14807003.39,23436116.78,19963424.9
667,21957937.75,23641902.71,18188622.05
668,22157452.54,22892110.68,17842511.53
669,14182543.92,23474859.91,19237565.82
670,17982174.52,23715314.63,19591150.43
671,18728148.15,24168701.0,19777048.73
672,19755742.77,22935155.03,18969906.86
673,20969225.75,23569646.37,18212174.67
674,16886013.57,23045721.29,19641447.34
675,20658795.17,23025689.9,16877097.7
676,21211673.02,23524302.34,17755408.34
677,19016876.36,23586056.83,19249157.01
678,19104343.95,23243944.99,18038982.48
679,15905566.13,23806213.09,20620666.78
680,17743157.75,23836845.83,20039395.18
681,17726798.86,23540811.19,19800154.14
682,15551987.56,22934707.79,19104661.27
683,17862892.05,23506851.88,18446816.71
684,21006164.42,23232425.76,18364984.46
685,18978720.39,23148447.51,19392471.67
686,19148596.23,23794771.19,19709830.01
687,14791723.75,23303289.69,20220507.76
688,19588432.5,23498939.7,17761877.92
